Titanic, 5, 1997, 195, 4
Joker, 4, 2019, 122, 3
Gravity, 4, 2013, 91, 4
Jaws, 4, 1975, 124, 3
Psycho, 5, 1960, 109, 2
Dunkirk, 4, 2017, 106, 3
Aliens, 4, 1986, 137, 3
Rocky, 5, 1976, 120, 2
Se7en, 5, 1995, 127, 3
Memento, 4, 2000, 113, 2
Whiplash, 5, 2014, 107, 3
Gladiator, 4, 2000, 155, 3
Frozen, 5, 2013, 102, 2
Casablanca, 5, 1942, 102, 3
Psycho, 5, 1998, 105, 2
Titanic, 5, 1997, 195, 4
Joker, 4, 2019, 122, 3
Gravity, 4, 2013, 91, 4
Jaws, 4, 1975, 124, 3
Psycho, 5, 1960, 109, 2
Dunkirk, 4, 2017, 106, 3
Aliens, 4, 1986, 137, 3
Rocky, 5, 1976, 120, 2
Se7en, 5, 1995, 127, 3
Memento, 4, 2000, 113, 2
Whiplash, 5, 2014, 107, 3
Gladiator, 4, 2000, 155, 3
Frozen, 5, 2013, 102, 2
Casablanca, 5, 1942, 102, 3
Psycho, 5, 1998, 105, 2
Titanic, 5, 1997, 195, 4
Joker, 4, 2019, 122, 3
Gravity, 4, 2013, 91, 4
Jaws, 4, 1975, 124, 3
Psycho, 5, 1960, 109, 2
Dunkirk, 4, 2017, 106, 3
Aliens, 4, 1986, 137, 3
Rocky, 5, 1976, 120, 2
Se7en, 5, 1995, 127, 3
Memento, 4, 2000, 113, 2
Whiplash, 5, 2014, 107, 3
Gladiator, 4, 2000, 155, 3
Frozen, 5, 2013, 102, 2
Casablanca, 5, 1942, 102, 3
Psycho, 5, 1998, 105, 2
Titanic, 5, 1997, 195, 4
Joker, 4, 2019, 122, 3
Gravity, 4, 2013, 91, 4
Jaws, 4, 1975, 124, 3
Psycho, 5, 1960, 109, 2
Titanic, 5, 1997, 195, 4
Joker, 4, 2019, 122, 3
Gravity, 4, 2013, 91, 4
Jaws, 4, 1975, 124, 3
Psycho, 5, 1960, 109, 2
Dunkirk, 4, 2017, 106, 3
Aliens, 4, 1986, 137, 3
